Date,Price
02/01/2020,57000
03/01/2020,57500
06/01/2020,56600
07/01/2020,56800
08/01/2020,56000
09/01/2020,57000
10/01/2020,56500
13/01/2020,57000
14/01/2020,56600
15/01/2020,56500
16/01/2020,56200
17/01/2020,55000
20/01/2020,54300
21/01/2020,54500
22/01/2020,53400
30/01/2020,50100
31/01/2020,50100
03/02/2020,50000
04/02/2020,50000
05/02/2020,50000
06/02/2020,49900
07/02/2020,49900
10/02/2020,49900
11/02/2020,49900
12/02/2020,50500
13/02/2020,50200
14/02/2020,49800
17/02/2020,49700
18/02/2020,49700
19/02/2020,50400
20/02/2020,51100
21/02/2020,53000
24/02/2020,51100
25/02/2020,50600
26/02/2020,49750
27/02/2020,49700
28/02/2020,49000
02/03/2020,49000
03/03/2020,49000
04/03/2020,49000
05/03/2020,50900
06/03/2020,54400
09/03/2020,52000
10/03/2020,52400
11/03/2020,49950
12/03/2020,49950
13/03/2020,49850
16/03/2020,40414
17/03/2020,40414
18/03/2020,40333
19/03/2020,40169
20/03/2020,40169
23/03/2020,40169
24/03/2020,40088
25/03/2020,40088
26/03/2020,40006
27/03/2020,40251
30/03/2020,40088
31/03/2020,40006
01/04/2020,40169
03/04/2020,42700
06/04/2020,45639
07/04/2020,46946
08/04/2020,48089
09/04/2020,48497
10/04/2020,49150
13/04/2020,47436
14/04/2020,49803
15/04/2020,49722
16/04/2020,49640
17/04/2020,49477
20/04/2020,48497
21/04/2020,46211
22/04/2020,47517
23/04/2020,47517
24/04/2020,48579
27/04/2020,47762
28/04/2020,48742
29/04/2020,48007
04/05/2020,46783
05/05/2020,46048
06/05/2020,47354
07/05/2020,48007
08/05/2020,49803
11/05/2020,51518
12/05/2020,50620
13/05/2020,50538
14/05/2020,52171
15/05/2020,50701
18/05/2020,51028
19/05/2020,51436
20/05/2020,52089
21/05/2020,52089
22/05/2020,50620
25/05/2020,50457
26/05/2020,51028
27/05/2020,51028
28/05/2020,51273
29/05/2020,51191
01/06/2020,51518
02/06/2020,52171
03/06/2020,52253
04/06/2020,51844
05/06/2020,51060
08/06/2020,51385
09/06/2020,51060
10/06/2020,50979
11/06/2020,47413
12/06/2020,47413
15/06/2020,45711
16/06/2020,46684
17/06/2020,46603
18/06/2020,46198
19/06/2020,46198
22/06/2020,47251
23/06/2020,47332
24/06/2020,46360
25/06/2020,45954
26/06/2020,45711
29/06/2020,44658
30/06/2020,43847
01/07/2020,44982
02/07/2020,46360
03/07/2020,46360
06/07/2020,46684
07/07/2020,46198
08/07/2020,46198
09/07/2020,46522
10/07/2020,46117
13/07/2020,45873
14/07/2020,45387
15/07/2020,45144
16/07/2020,46198
17/07/2020,45549
20/07/2020,44577
21/07/2020,44333
22/07/2020,43928
23/07/2020,43685
24/07/2020,42145
27/07/2020,40119
28/07/2020,40929
29/07/2020,39997
30/07/2020,40362
31/07/2020,40929
03/08/2020,42631
04/08/2020,43766
05/08/2020,44577
06/08/2020,43685
07/08/2020,43847
10/08/2020,44171
11/08/2020,44252
12/08/2020,43928
13/08/2020,44090
14/08/2020,43280
17/08/2020,42956
18/08/2020,42469
19/08/2020,42712
20/08/2020,42145
21/08/2020,42631
24/08/2020,43442
25/08/2020,43442
26/08/2020,43361
27/08/2020,43442
28/08/2020,44171
31/08/2020,44577
01/09/2020,44252
03/09/2020,44901
04/09/2020,45630
07/09/2020,44252
08/09/2020,44415
09/09/2020,44577
10/09/2020,44415
11/09/2020,44577
14/09/2020,45063
15/09/2020,44901
16/09/2020,44496
17/09/2020,43766
18/09/2020,43928
21/09/2020,44171
22/09/2020,44009
23/09/2020,44901
24/09/2020,44577
25/09/2020,44333
28/09/2020,44333
29/09/2020,43442
30/09/2020,44252
01/10/2020,44496
02/10/2020,43847
05/10/2020,45387
06/10/2020,47008
07/10/2020,50169
08/10/2020,51790
09/10/2020,55194
12/10/2020,56896
13/10/2020,60624
14/10/2020,64839
15/10/2020,65730
16/10/2020,64839
19/10/2020,66460
20/10/2020,67837
21/10/2020,67837
22/10/2020,68891
23/10/2020,69702
26/10/2020,71242
27/10/2020,71242
28/10/2020,69702
29/10/2020,68081
30/10/2020,68081
02/11/2020,68486
03/11/2020,68081
04/11/2020,68243
05/11/2020,71242
06/11/2020,72862
09/11/2020,77482
10/11/2020,77320
11/11/2020,77320
12/11/2020,75456
13/11/2020,73025
16/11/2020,68000
17/11/2020,68891
18/11/2020,67189
19/11/2020,66460
20/11/2020,66460
23/11/2020,67351
24/11/2020,66460
25/11/2020,66703
26/11/2020,67837
27/11/2020,67837
30/11/2020,66460
01/12/2020,67270
02/12/2020,67432
03/12/2020,67594
04/12/2020,69702
07/12/2020,69702
08/12/2020,69296
09/12/2020,69215
10/12/2020,68000
11/12/2020,68486
14/12/2020,68486
15/12/2020,68486
16/12/2020,68486
17/12/2020,68896
18/12/2020,68978
21/12/2020,68732
22/12/2020,67912
23/12/2020,67912
24/12/2020,67830
25/12/2020,67666
28/12/2020,67584
29/12/2020,68240
30/12/2020,68486
31/12/2020,72915
04/01/2021,72915
05/01/2021,73243
06/01/2021,72423
07/01/2021,75457
08/01/2021,76360
11/01/2021,77180
12/01/2021,77098
13/01/2021,76524
14/01/2021,75704
15/01/2021,76278
18/01/2021,78000
19/01/2021,74555
20/01/2021,74555
21/01/2021,75047
22/01/2021,76524
25/01/2021,79558
26/01/2021,78328
27/01/2021,75211
28/01/2021,69962
29/01/2021,70126
01/02/2021,67256
02/02/2021,68896
03/02/2021,72915
04/02/2021,73407
05/02/2021,73489
08/02/2021,70208
09/02/2021,72751
17/02/2021,75457
18/02/2021,78000
19/02/2021,77836
22/02/2021,77590
23/02/2021,76032
24/02/2021,74637
25/02/2021,73489
26/02/2021,74063
01/03/2021,74883
02/03/2021,74555
03/03/2021,74227
04/03/2021,72505
05/03/2021,73161
08/03/2021,71685
09/03/2021,71110
10/03/2021,71357
11/03/2021,71603
12/03/2021,71603
15/03/2021,72587
16/03/2021,72177
17/03/2021,72177
18/03/2021,73571
19/03/2021,72751
22/03/2021,72259
23/03/2021,70946
24/03/2021,69798
25/03/2021,70536
26/03/2021,70454
29/03/2021,70618
30/03/2021,72587
31/03/2021,75868
01/04/2021,75704
02/04/2021,76032
05/04/2021,76278
06/04/2021,75375
07/04/2021,76934
08/04/2021,76278
09/04/2021,75539
12/04/2021,75375
13/04/2021,77262
14/04/2021,82593
15/04/2021,82019
16/04/2021,82101
19/04/2021,87842
20/04/2021,86530
22/04/2021,80543
23/04/2021,82019
26/04/2021,77918
27/04/2021,80379
28/04/2021,81199
29/04/2021,80379
04/05/2021,78656
05/05/2021,78738
06/05/2021,78410
07/05/2021,77918
10/05/2021,83331
11/05/2021,83249
12/05/2021,85300
13/05/2021,84480
14/05/2021,88663
17/05/2021,85464
18/05/2021,86202
19/05/2021,88581
20/05/2021,93174
21/05/2021,91779
24/05/2021,91861
25/05/2021,93174
26/05/2021,93174
27/05/2021,90221
28/05/2021,92271
31/05/2021,90303
01/06/2021,87760
02/06/2021,86694
03/06/2021,86120
04/06/2021,88006
07/06/2021,85710
08/06/2021,85300
09/06/2021,85710
10/06/2021,84562
11/06/2021,86940
14/06/2021,87678
15/06/2021,87350
16/06/2021,85464
17/06/2021,84480
18/06/2021,87350
21/06/2021,89155
22/06/2021,88991
23/06/2021,87596
24/06/2021,87350
25/06/2021,87268
28/06/2021,89319
29/06/2021,88991
30/06/2021,91369
01/07/2021,93892
02/07/2021,94223
05/07/2021,92321
06/07/2021,90170
07/07/2021,95960
08/07/2021,99104
09/07/2021,96705
12/07/2021,99187
13/07/2021,95133
14/07/2021,96126
15/07/2021,95133
16/07/2021,99683
19/07/2021,98773
20/07/2021,101751
21/07/2021,100924
22/07/2021,101668
23/07/2021,98442
26/07/2021,100179
27/07/2021,103819
28/07/2021,102992
29/07/2021,105639
30/07/2021,110851
02/08/2021,112671
03/08/2021,113994
04/08/2021,112505
05/08/2021,111678
06/08/2021,111264
09/08/2021,116641
10/08/2021,114573
11/08/2021,113002
12/08/2021,110851
13/08/2021,110437
16/08/2021,110437
17/08/2021,109610
18/08/2021,111264
19/08/2021,112753
20/08/2021,110685
23/08/2021,105060
24/08/2021,106301
25/08/2021,111678
26/08/2021,110851
27/08/2021,112423
30/08/2021,109693
31/08/2021,111678
01/09/2021,110272
06/09/2021,108452
07/09/2021,107376
08/09/2021,105887
09/09/2021,108369
10/09/2021,107542
13/09/2021,108038
14/09/2021,112092
15/09/2021,119868
16/09/2021,123921
17/09/2021,120778
20/09/2021,118296
21/09/2021,118710
22/09/2021,121605
23/09/2021,119950
24/09/2021,117800
27/09/2021,111678
28/09/2021,112505
29/09/2021,116641
30/09/2021,117965
01/10/2021,115814
04/10/2021,116807
05/10/2021,116807
06/10/2021,117634
07/10/2021,117221
08/10/2021,120364
11/10/2021,121605
12/10/2021,120364
13/10/2021,118379
14/10/2021,117551
15/10/2021,116641
18/10/2021,118296
19/10/2021,116641
20/10/2021,118379
21/10/2021,115980
22/10/2021,115897
25/10/2021,116145
26/10/2021,115483
27/10/2021,121440
28/10/2021,125493
29/10/2021,124831
01/11/2021,120364
02/11/2021,120364
03/11/2021,120364
04/11/2021,122349
05/11/2021,122267
08/11/2021,125741
09/11/2021,122267
10/11/2021,122184
11/11/2021,121522
12/11/2021,123756
15/11/2021,127396
16/11/2021,125741
17/11/2021,124500
18/11/2021,122432
19/11/2021,121936
22/11/2021,124004
23/11/2021,129464
24/11/2021,129877
25/11/2021,130291
26/11/2021,130291
29/11/2021,126155
30/11/2021,123425
01/12/2021,124004
02/12/2021,125741
03/12/2021,124914
06/12/2021,124914
07/12/2021,125658
08/12/2021,124997
09/12/2021,127396
10/12/2021,127148
13/12/2021,129050
14/12/2021,129877
15/12/2021,133186
16/12/2021,132359
17/12/2021,130291
20/12/2021,134014
21/12/2021,137819
22/12/2021,140632
23/12/2021,141459
24/12/2021,141459
27/12/2021,139804
28/12/2021,141872
29/12/2021,142286
30/12/2021,141872
31/12/2021,141459
04/01/2022,140632
05/01/2022,133186
06/01/2022,127230
07/01/2022,127396
10/01/2022,126568
11/01/2022,119868
12/01/2022,119868
13/01/2022,119785
14/01/2022,119785
17/01/2022,117469
18/01/2022,117551
19/01/2022,122019
20/01/2022,123425
21/01/2022,124914
24/01/2022,118296
25/01/2022,126568
26/01/2022,121605
27/01/2022,117469
28/01/2022,118296
07/02/2022,122349
08/02/2022,120364
09/02/2022,121274
10/02/2022,123756
11/02/2022,123921
14/02/2022,125410
15/02/2022,132773
16/02/2022,130787
17/02/2022,134841
18/02/2022,135089
21/02/2022,132607
22/02/2022,130291
23/02/2022,130043
24/02/2022,131946
25/02/2022,130705
28/02/2022,129050
01/03/2022,129464
02/03/2022,129877
03/03/2022,131615
04/03/2022,133435
07/03/2022,130870
08/03/2022,131366
09/03/2022,128637
10/03/2022,124087
11/03/2022,117882
14/03/2022,112588
15/03/2022,116724
16/03/2022,116228
17/03/2022,114160
18/03/2022,113084
21/03/2022,119950
22/03/2022,122846
23/03/2022,121605
24/03/2022,121274
25/03/2022,121109
28/03/2022,120447
29/03/2022,119123
30/03/2022,119123
31/03/2022,117634
01/04/2022,121191
04/04/2022,124087
05/04/2022,125410
06/04/2022,127230
07/04/2022,124914
08/04/2022,122846
12/04/2022,124484
13/04/2022,125973
14/04/2022,124782
15/04/2022,124087
18/04/2022,123094
19/04/2022,119620
20/04/2022,123392
21/04/2022,122101
22/04/2022,122399
25/04/2022,115153
26/04/2022,115153
27/04/2022,118131
28/04/2022,115649
29/04/2022,115153
04/05/2022,112274
05/05/2022,118131
06/05/2022,116145
09/05/2022,114061
10/05/2022,115252
11/05/2022,111082
12/05/2022,103339
13/05/2022,96192
16/05/2022,89541
17/05/2022,95795
18/05/2022,102446
19/05/2022,109593
20/05/2022,107012
23/05/2022,103737
24/05/2022,108204
25/05/2022,109693
26/05/2022,107807
27/05/2022,109196
30/05/2022,109196
31/05/2022,111579
01/06/2022,114160
02/06/2022,113465
03/06/2022,111976
06/06/2022,116145
07/06/2022,117039
08/06/2022,118428
09/06/2022,117634
10/06/2022,116145
13/06/2022,108204
14/06/2022,105523
15/06/2022,105226
16/06/2022,109891
17/06/2022,116145
20/06/2022,110189
21/06/2022,110189
22/06/2022,105226
23/06/2022,109196
24/06/2022,108700
27/06/2022,112174
28/06/2022,113167
29/06/2022,113167
30/06/2022,111182
01/07/2022,108700
04/07/2022,107700
05/07/2022,102000
06/07/2022,100000
07/07/2022,103000
08/07/2022,104900
11/07/2022,102500
12/07/2022,102000
13/07/2022,101000
14/07/2022,102500
15/07/2022,101200
18/07/2022,102600
19/07/2022,102000
20/07/2022,103000
21/07/2022,105500
22/07/2022,108500
25/07/2022,108600
26/07/2022,110000
27/07/2022,109900
28/07/2022,109900
29/07/2022,106100
01/08/2022,109400
02/08/2022,110000
03/08/2022,110000
04/08/2022,107900
05/08/2022,104500
08/08/2022,104800
09/08/2022,105200
10/08/2022,105800
11/08/2022,106800
12/08/2022,107200
15/08/2022,108500
16/08/2022,109000
17/08/2022,111300
18/08/2022,112000
19/08/2022,112000
22/08/2022,111800
23/08/2022,112600
24/08/2022,111900
25/08/2022,112800
26/08/2022,112200
29/08/2022,112200
30/08/2022,113700
31/08/2022,114500
05/09/2022,115500
06/09/2022,115000
07/09/2022,112000
08/09/2022,115000
09/09/2022,116100
12/09/2022,115000
13/09/2022,114000
14/09/2022,112000
15/09/2022,112000
16/09/2022,112800
19/09/2022,112500
20/09/2022,113300
21/09/2022,112000
22/09/2022,110000
23/09/2022,108600
26/09/2022,107700
27/09/2022,107700
28/09/2022,102100
29/09/2022,100000
30/09/2022,99000
03/10/2022,94000
04/10/2022,90500
05/10/2022,91400
06/10/2022,86700
07/10/2022,81500
10/10/2022,80500
11/10/2022,79800
12/10/2022,81100
13/10/2022,78700
14/10/2022,79000
17/10/2022,79000
18/10/2022,82000
19/10/2022,80000
20/10/2022,80200
21/10/2022,74800
24/10/2022,72800
25/10/2022,75000
26/10/2022,78000
27/10/2022,83000
28/10/2022,83900
31/10/2022,85500
01/11/2022,86500
02/11/2022,81000
03/11/2022,85400
04/11/2022,84300
07/11/2022,84500
08/11/2022,86000
09/11/2022,87000
10/11/2022,81000
11/11/2022,86500
14/11/2022,89100
15/11/2022,89400
16/11/2022,90900
17/11/2022,97000
18/11/2022,95200
21/11/2022,95100
22/11/2022,91800
23/11/2022,92900
24/11/2022,89000
25/11/2022,94000
28/11/2022,97200
29/11/2022,99000
30/11/2022,102000
01/12/2022,99000
02/12/2022,103900
05/12/2022,105000
06/12/2022,102000
07/12/2022,100000
08/12/2022,96000
09/12/2022,97000
12/12/2022,97000
13/12/2022,97000
14/12/2022,96000
15/12/2022,98200
16/12/2022,93500
19/12/2022,95000
20/12/2022,94000
21/12/2022,94900
22/12/2022,94400
23/12/2022,95000
26/12/2022,91500
27/12/2022,91600
28/12/2022,93000
29/12/2022,94000
30/12/2022,93000
03/01/2023,96000
04/01/2023,99300
05/01/2023,99500
06/01/2023,95800
09/01/2023,96500
10/01/2023,95400
11/01/2023,96000
12/01/2023,93300
13/01/2023,95000
16/01/2023,94900
17/01/2023,97500
18/01/2023,99900
19/01/2023,102000
27/01/2023,103700
30/01/2023,102000
31/01/2023,101100
01/02/2023,95200
02/02/2023,96700
03/02/2023,96500
06/02/2023,96300
07/02/2023,94100
08/02/2023,93500
09/02/2023,91800
10/02/2023,91200
13/02/2023,92900
14/02/2023,92900
15/02/2023,93000
16/02/2023,92900
17/02/2023,91300
20/02/2023,94500
21/02/2023,93800
22/02/2023,91000
23/02/2023,87600
24/02/2023,85900
27/02/2023,79900
28/02/2023,82000
01/03/2023,80500
02/03/2023,79000
03/03/2023,76000
06/03/2023,74400
07/03/2023,78300
08/03/2023,80400
09/03/2023,80800
10/03/2023,83900
13/03/2023,84500
14/03/2023,83600
15/03/2023,84700
16/03/2023,83800
17/03/2023,83500
20/03/2023,81500
21/03/2023,80100
22/03/2023,80500
23/03/2023,79000
24/03/2023,78000
27/03/2023,76700
28/03/2023,77600
29/03/2023,78800
30/03/2023,79200
31/03/2023,77800
03/04/2023,76800
04/04/2023,78400
05/04/2023,78400
06/04/2023,77000
07/04/2023,77600
10/04/2023,77200
11/04/2023,77900
12/04/2023,79500
13/04/2023,79200
14/04/2023,78100
17/04/2023,78100
18/04/2023,78000
